Time,Node,Rx-Tx Node,Packet,Type,Energy,State
1060.06,host[49],Broadcast,CTRL,SENT,49.9978,ch
1251.99,host[49],Broadcast,CTRL,SENT,49.9974,ch
1827.79,host[49],Broadcast,CTRL,SENT,49.9962,ch
2211.65,host[49],Broadcast,CTRL,SENT,49.9954,ch
2403.58,host[49],Broadcast,CTRL,SENT,49.9949,ch
2979.38,host[49],Broadcast,CTRL,SENT,49.9937,ch
3363.24,host[49],Broadcast,CTRL,SENT,49.9929,ch
3555.17,host[49],Broadcast,CTRL,SENT,49.9924,ch
3939.04,host[49],Broadcast,CTRL,SENT,49.9916,ch
4514.83,host[49],Broadcast,CTRL,SENT,49.9904,ch
4706.77,host[49],Broadcast,CTRL,SENT,49.9899,ch
5282.56,host[49],Broadcast,CTRL,SENT,49.9887,ch
5666.43,host[49],Broadcast,CTRL,SENT,49.9879,ch
6050.29,host[49],Broadcast,CTRL,SENT,49.9871,ch
6434.15,host[49],Broadcast,CTRL,SENT,49.9862,ch
6818.02,host[49],Broadcast,CTRL,SENT,49.9854,ch
7009.95,host[49],Broadcast,CTRL,SENT,49.985,ch
7585.75,host[49],Broadcast,CTRL,SENT,49.9837,ch
7969.61,host[49],Broadcast,CTRL,SENT,49.9829,ch
8353.47,host[49],Broadcast,CTRL,SENT,49.9821,ch
8737.34,host[49],Broadcast,CTRL,SENT,49.9813,ch
9121.2,host[49],Broadcast,CTRL,SENT,49.9804,ch
9505.07,host[49],Broadcast,CTRL,SENT,49.9796,ch
9697,host[49],Broadcast,CTRL,SENT,49.9792,ch
10272.8,host[49],Broadcast,CTRL,SENT,49.9779,ch
10464.7,host[49],Broadcast,CTRL,SENT,49.9775,ch
10848.6,host[49],Broadcast,CTRL,SENT,49.9767,ch
11424.4,host[49],Broadcast,CTRL,SENT,49.9754,ch
11616.3,host[49],Broadcast,CTRL,SENT,49.975,ch
12192.1,host[49],Broadcast,CTRL,SENT,49.9738,ch
12576,host[49],Broadcast,CTRL,SENT,49.9729,ch
12767.9,host[49],Broadcast,CTRL,SENT,49.9725,ch
13151.8,host[49],Broadcast,CTRL,SENT,49.9717,ch
13727.6,host[49],Broadcast,CTRL,SENT,49.9705,ch
13919.5,host[49],Broadcast,CTRL,SENT,49.97,ch
14495.3,host[49],Broadcast,CTRL,SENT,49.9688,ch
14879.2,host[49],Broadcast,CTRL,SENT,49.968,ch
15071.1,host[49],Broadcast,CTRL,SENT,49.9675,ch
15646.9,host[49],Broadcast,CTRL,SENT,49.9663,ch
15838.8,host[49],Broadcast,CTRL,SENT,49.9659,ch
16414.6,host[49],Broadcast,CTRL,SENT,49.9646,ch
16606.6,host[49],Broadcast,CTRL,SENT,49.9642,ch
17182.3,host[49],Broadcast,CTRL,SENT,49.963,ch
17566.2,host[49],Broadcast,CTRL,SENT,49.9622,ch
17950.1,host[49],Broadcast,CTRL,SENT,49.9613,ch
18142,host[49],Broadcast,CTRL,SENT,49.9609,ch
18717.8,host[49],Broadcast,CTRL,SENT,49.9597,ch
18909.7,host[49],Broadcast,CTRL,SENT,49.9592,ch
19485.5,host[49],Broadcast,CTRL,SENT,49.958,ch
19677.5,host[49],Broadcast,CTRL,SENT,49.9575,ch
20061.3,host[49],Broadcast,CTRL,SENT,49.9567,ch
20637.1,host[49],Broadcast,CTRL,SENT,49.9555,ch
20829.1,host[49],Broadcast,CTRL,SENT,49.9551,ch
21404.9,host[49],Broadcast,CTRL,SENT,49.9538,ch
21596.8,host[49],Broadcast,CTRL,SENT,49.9534,ch
21980.6,host[49],Broadcast,CTRL,SENT,49.9526,ch
22556.4,host[49],Broadcast,CTRL,SENT,49.9514,ch
22940.3,host[49],Broadcast,CTRL,SENT,49.9505,ch
23324.2,host[49],Broadcast,CTRL,SENT,49.9497,ch
23516.1,host[49],Broadcast,CTRL,SENT,49.9493,ch
24091.9,host[49],Broadcast,CTRL,SENT,49.948,ch
24283.8,host[49],Broadcast,CTRL,SENT,49.9476,ch
24859.6,host[49],Broadcast,CTRL,SENT,49.9464,ch
25051.6,host[49],Broadcast,CTRL,SENT,49.9459,ch
25627.4,host[49],Broadcast,CTRL,SENT,49.9447,ch
26011.2,host[49],Broadcast,CTRL,SENT,49.9439,ch
26395.1,host[49],Broadcast,CTRL,SENT,49.9431,ch
26778.9,host[49],Broadcast,CTRL,SENT,49.9422,ch
27162.8,host[49],Broadcast,CTRL,SENT,49.9414,ch
27546.7,host[49],Broadcast,CTRL,SENT,49.9406,ch
27930.5,host[49],Broadcast,CTRL,SENT,49.9397,ch
28122.5,host[49],Broadcast,CTRL,SENT,49.9393,ch
28698.3,host[49],Broadcast,CTRL,SENT,49.9381,ch
28890.2,host[49],Broadcast,CTRL,SENT,49.9376,ch
29274.1,host[49],Broadcast,CTRL,SENT,49.9368,ch
29849.9,host[49],Broadcast,CTRL,SENT,49.9356,ch
30041.8,host[49],Broadcast,CTRL,SENT,49.9351,ch
30617.6,host[49],Broadcast,CTRL,SENT,49.9339,ch
30809.5,host[49],Broadcast,CTRL,SENT,49.9335,ch
31193.4,host[49],Broadcast,CTRL,SENT,49.9327,ch
31769.2,host[49],Broadcast,CTRL,SENT,49.9314,ch
32153,host[49],Broadcast,CTRL,SENT,49.9306,ch
32345,host[49],Broadcast,CTRL,SENT,49.9302,ch
32728.8,host[49],Broadcast,CTRL,SENT,49.9293,ch
33304.6,host[49],Broadcast,CTRL,SENT,49.9281,ch
33688.5,host[49],Broadcast,CTRL,SENT,49.9273,ch
34072.4,host[49],Broadcast,CTRL,SENT,49.9265,ch
34264.3,host[49],Broadcast,CTRL,SENT,49.926,ch
34840.1,host[49],Broadcast,CTRL,SENT,49.9248,ch
35224,host[49],Broadcast,CTRL,SENT,49.924,ch
35415.9,host[49],Broadcast,CTRL,SENT,49.9235,ch
35991.7,host[49],Broadcast,CTRL,SENT,49.9223,ch
36375.5,host[49],Broadcast,CTRL,SENT,49.9215,ch
36567.5,host[49],Broadcast,CTRL,SENT,49.921,ch
36951.3,host[49],Broadcast,CTRL,SENT,49.9202,ch
